P2025,CO2,H2O,O3,CH4,CiC,PMO
AGWP20,15.1263,1.0192,1.0192,10.6318,1.0000,10.6318
AGWP50,29.7877,1.0192,1.0192,13.0968,1.0000,13.0968
AGWP100,46.5486,1.0192,1.0192,13.3563,1.0000,13.356
AGWP500,120.4760,1.0192,1.0192,13.3616,1.0000,13.362
EAGWP20,15.1263,1.0192,1.0702,11.0517,0.2100,10.6318
EAGWP50,29.7877,1.0192,1.0702,13.6218,0.2100,13.0968
EAGWP100,46.5486,1.0192,1.0702,13.8903,0.2100,13.3561
EAGWP500,120.4760,1.0192,1.0702,13.8956,0.2100,13.3612
ATR20,0.3481,0.0320,0.0337,0.2838,0.0065,0.2690
ATR50,0.3690,0.0146,0.0154,0.1898,0.0029,0.1800
ATR100,0.3223,0.0078,0.0082,0.1059,0.0016,0.1004
ATR500,0.2121,0.0020,0.0021,0.0273,0.0004,0.0258
AGTP20,0.4374,0.0090,0.0095,0.2619,0.0018,0.2483
AGTP50,0.3274,0.0012,0.0012,0.0500,0.0002,0.0474
AGTP100,0.2464,0.0008,0.0009,0.0128,0.0002,0.0121
AGTP500,0.1546,0.0003,0.0003,0.0045,0.0001,0.0043
